# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Count (DOWNSTREAM)	Count (FRAME_SHIFT)	Count (INTRON)	Count (UPSTREAM)
Gene_pauD.r01	Exon_U00096_585280_585324		0	0	50	0	0	45	0	0	45	0	0	0	0	0	50	0	0	0	0
Gene_pawZ.r01	Exon_U00096_2474606_2474620		0	0	50	0	0	15	0	0	15	0	0	0	0	0	50	0	0	0	0
Gene_psaA.t01	Exon_U00096_2775994_2776007		0	0	50	0	0	14	0	0	14	0	0	0	0	0	50	0	0	0	0
Gene_ptwF.r01	Exon_U00096_296430_296478		0	0	50	0	0	49	0	0	49	0	0	0	0	0	50	0	0	0	0
Gene_sokA.r01	Exon_U00096_3720099_3720128		0	0	50	0	0	30	0	0	30	0	0	0	0	0	50	0	0	0	0
Gene_ssrA.t01	Exon_U00096_2753615_2753977		0	0	50	0	0	363	0	0	363	0	0	0	0	0	50	0	0	0	0
aaeA	aaeA	mRNA	0	0	50	0	0	933	0	0	933	0	0	0	0	0	50	0	0	0	0
aaeB	aaeB	mRNA	0	0	50	0	0	1968	0	0	1968	0	0	0	0	0	50	0	0	0	0
aaeR	aaeR	mRNA	0	0	50	0	0	930	0	0	930	0	0	0	0	0	50	0	0	0	0
aaeX	aaeX	mRNA	0	0	50	0	0	204	0	0	204	0	0	0	0	0	50	0	0	0	0
aas	aas	mRNA	0	0	50	0	0	2160	0	0	2160	0	0	0	0	0	50	0	0	0	0
aat	aat	mRNA	0	0	50	0	0	705	0	0	705	0	0	0	0	0	50	0	0	0	0
abgA	abgA	mRNA	0	0	50	0	0	1311	0	0	1311	0	0	0	0	0	50	0	0	0	0
abgB	abgB	mRNA	0	0	50	0	0	1446	0	0	1446	0	0	0	0	0	50	0	0	0	0
abgR	abgR	mRNA	0	0	50	0	0	909	0	0	909	0	0	0	0	0	50	0	0	0	0
abgT	abgT	mRNA	0	0	50	0	0	1527	0	0	1527	0	0	0	0	0	50	0	0	0	0
abrB	abrB	mRNA	0	0	50	0	0	1047	0	0	1047	0	0	0	0	0	50	0	0	0	0
accA	accA	mRNA	0	0	50	0	0	960	0	0	960	0	0	0	0	0	50	0	0	0	0
accB	accB	mRNA	0	0	50	0	0	471	0	0	471	0	0	0	0	0	50	0	0	0	0
accC	accC	mRNA	0	0	50	0	0	1350	0	0	1350	0	0	0	0	0	50	0	0	0	0
accD	accD	mRNA	0	0	50	0	0	915	0	0	915	0	0	0	1	0	50	0	0	0	1
aceA	aceA	mRNA	0	0	50	0	0	1305	0	0	1305	0	0	0	0	0	50	0	0	0	0
aceB	aceB	mRNA	0	0	50	0	0	1602	0	0	1602	0	0	0	0	0	50	0	0	0	0
aceE	aceE	mRNA	0	0	50	0	0	2664	0	0	2664	0	0	0	0	0	50	0	0	0	0
aceF	aceF	mRNA	0	0	50	0	0	1893	0	0	1893	0	0	0	0	0	50	0	0	0	0
aceK	aceK	mRNA	0	0	50	0	0	1737	0	0	1737	0	0	0	0	0	50	0	0	0	0
ackA	ackA	mRNA	0	0	50	0	0	1203	0	0	1203	0	0	0	0	0	50	0	0	0	0
acnA	acnA	mRNA	0	0	50	1	0	2676	0	0	2676	0	0	0	0	0	50	0	1	0	0
acnB	acnB	mRNA	0	0	50	1	0	2598	0	0	2598	0	0	0	0	0	50	0	1	0	0
acpH	acpH	mRNA	0	0	50	0	0	582	0	0	582	0	0	0	0	0	50	0	0	0	0
acpP	acpP	mRNA	0	0	50	0	0	237	0	0	237	0	0	0	0	0	50	0	0	0	0
acpS	acpS	mRNA	0	0	50	0	0	381	0	0	381	0	0	0	0	0	50	0	0	0	0
acpT	acpT	mRNA	0	0	50	0	0	588	0	0	588	0	0	0	0	0	50	0	0	0	0
acrA	acrA	mRNA	0	0	50	0	0	1194	0	0	1194	0	0	0	0	0	50	0	0	0	0
acrB	acrB	mRNA	0	0	50	0	0	3150	0	0	3150	0	0	0	0	0	50	0	0	0	0
acrD	acrD	mRNA	0	0	50	0	0	3114	0	0	3114	0	0	0	0	0	50	0	0	0	0
acrE	acrE	mRNA	0	0	50	0	0	1158	0	0	1158	0	0	0	0	0	50	0	0	0	0
acrF	acrF	mRNA	0	0	50	0	0	3105	0	0	3105	0	0	0	0	0	50	0	0	0	0
acrR	acrR	mRNA	0	0	50	0	0	648	0	0	648	0	0	0	0	0	50	0	0	0	0
acs	acs	mRNA	0	0	50	0	0	1959	0	0	1959	0	0	0	0	0	50	0	0	0	0
actP	actP	mRNA	0	0	50	1	0	1650	0	0	1650	0	0	0	0	0	50	0	1	0	0
